[HEADER]
START_TIME: 237687177 usec
ELAPSED_TIME: 114568159 usec
RELAY_STATE: 0
ACCELERATION_DATA: PERIOD SAMPLE NUMBER INDEX
1600 HZ 183264 X,Y,Z
[END OF HEADER]

462,-512,17281
-17,-287,16391
5,-12,15907
390,84,16639
368,-124,16875
-112,146,15991
-218,388,15901
5,489,16149
251,0,16751
89,28,17123
94,-113,16949
-28,-152,16797
200,-231,16825
396,-248,16656
295,33,16667
150,202,16149
133,22,16723
502,-535,17089
440,-630,16898
245,-152,16763
568,-57,16718
602,-389,17061
61,-681,16515
111,-282,16374
262,371,16397
462,-17,16459
239,-462,16504
524,-552,17551
78,-231,16464
11,180,15749
290,303,16188
184,376,16526
-140,140,16273
117,-90,16267
217,-265,17022
446,-152,17585
-207,-327,16678
295,-119,16216
407,315,16295
552,73,16920
89,-90,16622
-28,-79,16374
312,-242,17039
357,-422,17208
111,-90,16915
-73,241,16273
11,444,15935
446,225,16498
418,-135,16825
128,-45,16650
-140,-102,16368
290,-231,16521
541,-321,16898
206,0,16498
94,-12,16740
446,-338,16909
273,-608,16785
295,-377,16419
373,393,16188
312,219,16233
396,-400,16261
635,-512,16785
1896,-1294,19647
1623,-2729,19055
407,-3488,16712
1232,-1497,16875
1745,-85,17095
1333,-265,16549
384,-906,15833
1020,-1277,17518
1472,-1677,18154
942,-1862,17039
903,-985,16639
1071,-479,16915
1383,-996,17196
959,-1615,17371
937,-1362,17084
886,-749,17095
1020,-805,16639
1115,-1193,17084
1333,-1305,17337
942,-1137,17078
836,-1035,16628
1199,-1176,16842
1416,-1367,17230
1137,-1395,16994
1149,-1373,16960
1216,-1210,17168
736,-794,16977
-45,236,16352
-151,725,16267
105,399,16554
317,-62,16599
384,-203,16599
172,-248,16278
345,-23,16453
312,298,16718
223,517,16442
66,95,16250
295,-310,16425
379,-377,16599
105,196,16301
111,376,16273
156,163,16329
379,-203,16509
278,-248,16532
167,185,16290
94,168,16036
345,0,16352
412,-270,16605
267,90,16453
167,-45,16183
317,-164,16408
401,-169,16785
290,106,16566
-56,208,16368
245,-17,16487
89,140,16211
245,157,16560
89,202,16475
145,73,16408
474,-152,16920
234,101,16904
27,320,16526
117,56,16526
312,33,16746
317,61,16881
139,281,16492
122,135,16532
284,5,16842
133,-135,17146
122,219,16937
-28,157,16633
228,67,16678
66,22,16718
195,191,16920
-45,90,16650
206,-40,16391
390,-107,16797
384,45,16915
66,168,16504
172,-45,16256
446,-152,16329
301,382,15940
451,50,16138
462,-17,15839
630,-180,16261
412,236,15850
362,241,15833
423,90,16329
647,-164,16194
368,33,16008
105,219,15822
468,-85,16188
557,-186,16312
211,84,16295
89,236,16267
239,-45,16177
457,-169,16690
178,-62,16470
105,236,16442
66,106,16684
329,-85,17118
217,67,16740
61,258,16504
295,0,17061
278,-209,17061
78,-40,16999
-51,354,16909
128,28,16842
234,-96,17056
167,247,17123
5,264,16780
-67,146,16537
239,-90,17044
100,-23,17123
61,208,16802
83,157,16594
306,-40,16729
334,-152,16915
61,78,16628
407,-96,16616
200,-62,16498
234,-119,16566
256,-6,16605
217,202,16532
301,-45,16295
340,67,16183
384,61,16583
334,0,16599
262,95,16363
256,11,16459
368,16,16673
412,-23,16633
211,129,16459
89,45,16453
161,275,16442
72,270,16149
161,-29,16521
16,151,16402
468,-158,16864
89,112,16813
22,112,16571
301,16,16566
362,-68,16774
228,95,16960
278,-124,16706
407,-158,16813
462,-141,16949
245,50,16853
133,253,16526
228,39,16571
418,-6,16836
72,230,16380
0,157,16329
239,61,16616
412,-169,16735
357,-40,17050
50,202,16639
105,67,16521
317,-147,16701
423,-186,16853
139,112,16791
16,258,16442
401,-57,16667
223,-237,16937
156,151,16825
39,191,16549
128,22,16661
111,101,16594
239,84,16751
100,219,16447
167,-45,16554
267,-113,16825
223,33,16915
-45,253,16583
206,16,16447
223,-57,16695
223,-124,17016
100,106,16836
0,354,16481
195,50,16813
245,-130,16915
50,106,16881
11,135,16532
89,50,16892
211,-124,16977
239,0,17022
72,174,16819
139,168,16706
94,-29,16599
329,-96,16859
178,45,17061
-95,275,16706
0,298,16628
217,-231,16988
122,90,16847
-146,230,16650
156,33,16768
401,-158,17027
312,16,17095
200,-119,16836
66,129,16566
407,-231,16915
256,11,17056
-6,180,16633
-6,118,16521
200,-113,16690
206,-96,16904
306,0,16926
446,-85,16932
178,5,16859
161,106,16577
228,202,16205
167,258,16323
262,219,16014
256,56,16092
423,168,16357
496,-119,16306
507,-180,16526
479,-147,16363
440,157,16566
256,241,16295
150,140,16025
284,292,16233
150,208,16104
223,16,16222
384,-40,16419
396,-102,16532
306,11,16746
457,0,16898
396,33,16859
145,185,16661
117,78,16543
-12,140,16532
-17,123,16656
128,123,16611
22,-29,16875
262,-147,16875
267,-164,16932
262,-57,17095
317,-180,17191
200,84,16791
83,315,16802
-12,241,16644
5,151,16588
16,112,16605
156,22,16526
167,-186,16853
295,11,16971
111,118,16549
295,-12,16870
105,292,16425
72,185,16498
172,213,16363
211,163,16487
251,-23,16408
317,-57,16363
446,-90,16757
373,-102,16695
317,-23,16909
312,101,16667
150,191,16475
-28,61,16521
27,230,16436
384,-57,16785
172,11,16537
373,-79,16847
379,-175,16971
357,-96,16960
284,-74,16999
256,11,16757
78,168,16656
-34,247,16661
55,56,16430
78,95,16605
256,-34,16684
401,-197,16802
412,-259,16802
390,-17,16875
5,208,16830
267,-45,16701
-12,196,16549
-95,191,16290
223,-102,16374
133,-79,16464
407,-57,16650
329,-147,16926
418,-164,16757
518,-74,16690
228,95,16661
184,84,16447
133,196,16368
66,281,16290
184,11,16323
278,-40,16442
435,11,16442
267,-79,16464
239,73,16667
457,-62,16470
262,-23,16397
239,225,16521
189,303,16295
139,225,16205
145,258,16188
373,39,16374
262,45,16588
373,-124,16583
440,-68,16892
161,157,16813
167,90,16481
206,258,16430
133,146,16222
507,-158,16650
390,-51,16453
412,-34,16504
340,-158,16712
373,33,16774
278,0,16695
184,213,16605
105,168,16492
206,191,16515
184,202,16273
122,28,16549
267,-79,16594
396,-57,16667
228,-17,16859
329,-119,16982
267,50,16966
184,16,16566
117,230,16611
100,106,16599
407,-96,16898
206,140,17208
44,230,16723
-56,163,16459
223,-130,16577
362,-186,16988
72,61,16667
22,225,16599
228,-113,16723
379,-124,16904
94,135,16751
11,393,16656
150,-107,16605
44,371,16701
145,50,16926
105,118,16690
105,78,16622
245,-68,16836
133,-23,17005
195,56,16791
0,191,16628
-45,151,16673
83,-51,16949
251,-23,16875
-79,253,16695
39,106,16571
167,-17,16836
362,-79,16966
50,135,16836
27,174,16644
78,225,16847
396,-90,16988
78,135,16763
55,-158,16442
306,-119,17135
44,22,16853
-28,309,16667
5,95,16628
290,-152,17135
105,90,16994
-134,331,16515
22,39,16797
195,-102,16988
267,39,16932
-67,315,16780
329,-209,17084
290,-158,16977
167,101,17061
33,275,16802
-6,247,16509
172,-74,16920
223,-34,17343
-23,303,16729
11,230,16746
189,-23,16768
396,-124,17163
-6,202,16712
-67,309,16571
172,-90,16768
317,-124,17027
39,174,16954
228,-29,16774
195,-79,16712
323,-203,16982
0,118,16836
66,196,16740
172,-6,16684
340,-141,17061
66,84,16780
-40,270,16695
150,-12,16785
178,-85,17067
94,90,17005
-17,140,16667
72,112,16746
228,-90,16768
195,22,17089
223,45,16763
66,95,16560
105,247,16650
234,-175,16949
323,45,16780
78,191,16712
105,95,16532
306,-40,16966
223,-113,16836
262,241,16847
66,253,16464
317,-203,16650
295,-79,16830
117,56,16763
251,-119,16611
479,-51,16819
117,151,16442
128,84,16295
267,-225,16036
635,-12,16183
340,135,16059
340,101,15749
407,-79,15771
613,-180,16059
535,-186,16290
301,219,15901
323,247,15698
524,-34,16087
591,-96,16245
351,84,16036
295,208,15901
301,-107,16025
